zone_code,zone_name,x_coord,y_coord,gu_name,dong_name,area_size
3110008,Baehwayeojadaehakgyo(Baknosumisulgwan),197093,453418,Jongno-gu,Cheongunhyojadong,149264
3110009,Jahamunteoneol,196991,455057,Jongno-gu,Buamdong,178306
3110010,Pyeongchangdongseocheuk,197064,456643,Jongno-gu,Pyeongchangdong,369415
3110017,Jeongdokdoseogwan,198581,453781,Jongno-gu,Gahoedong,83855
3110018,Junganggodeunghakgyo,198883,453690,Jongno-gu,Gahoedong,166872
3110019,Changdeokgung,199222,452926,Jongno-gu,Jongro1?2?3?4Gadong,40999
3110020,Seoulgukjegodeunghakgyo,199598,454302,Jongno-gu,Hyehwadong,133692
3110001,Ibuk5Docheongsa,196262,456660,Jongno-gu,Pyeongchangdong,108529
3110002,Dokripmunyeok 1Beon,196220,452912,Jongno-gu,Muakdong,31531
3110003,Segeomjeongchodeunghakgyo,196389,455998,Jongno-gu,Buamdong,191570
3110004,Daesingodeunghakgyo,196517,452627,Jongno-gu,Gyonamdong,18781
3110035,Dongmyoapyeok 2Beon,201699,452879,Jongno-gu,Sungin2Dong,95779
3110011,Cheongunchodeunghakgyo,197219,454141,Jongno-gu,Cheongunhyojadong,26913
3110012,Seonggokmisulgwan,197292,452641,Jongno-gu,Sajikdong,124348
3110013,Chebudonghongjongmungaok,197340,453202,Jongno-gu,Sajikdong,17064
3110014,Gyeongbokgodeunghakgyo,197484,453952,Jongno-gu,Cheongunhyojadong,63411
3110015,Cheongwadaesarangchae,197585,453623,Jongno-gu,Cheongunhyojadong,69399
3110016,Pyeongchangdongdongcheuk,197827,457040,Jongno-gu,Pyeongchangdong,522818
3110005,Segeomjeong,196688,455706,Jongno-gu,Buamdong,244923
3110006,Buamdongjuminsenteo,196701,454714,Jongno-gu,Buamdong,91486
3110007,Sajikgongwon(Hanguksahoegwahakdoseogwan),196895,452714,Jongno-gu,Sajikdong,80252
3110037,Sinseoldongyeok 12Beon,201949,453159,Jongno-gu,Sungin2Dong,55232
3110038,Gyeonghyangsinmunsa,197253,451928,Jung-gu,Sogongdong,36893
3110039,Hoehyeonyeok 1Beon,198305,450967,Jung-gu,Hoehyeondong,9928
3110021,Seonggyungwandaehakgyo,199759,453776,Jongno-gu,Hyehwadong,77655
3110022,Gyeongsingodeunghakgyo,199921,454166,Jongno-gu,Hyehwadong,60182
3110023,Seouldaebyeongwon,200139,453265,Jongno-gu,Ihwadong,15969
3110024,Hyehwadongjuminsenteo,200121,454192,Jongno-gu,Hyehwadong,52850
3110025,Chungsinsijangyeop,200370,452813,Jongno-gu,Jongro5?6Gadong,39184
3110026,Jongro5Gayeok 4Beon,200477,452601,Jongno-gu,Jongro5?6Gadong,16485
3110027,Hyehwayeok 1Beon,200507,453618,Jongno-gu,Ihwadong,117673
3110028,Ihwadalpaengigil,200575,452995,Jongno-gu,Ihwadong,159124
3110029,Dongdaemunyeok 1Beon,200934,452953,Jongno-gu,Changsin2Dong,153230
3110030,Dongdaemunyeok 3Beon,201063,452656,Jongno-gu,Changsin1Dong,9161
3110031,Changsinyeok 1Beon,201298,453314,Jongno-gu,Changsin3Dong,32878
3110032,Sujokgwangeori,201321,452326,Jongno-gu,Changsin1Dong,9323
3110033,Changsinyeok 4Beon,201471,453118,Jongno-gu,Sungin1Dong,77869
3110034,Changsin1Dongjuminsenteo,201508,452344,Jongno-gu,Changsin1Dong,29604
