year_quarter,zone_code,change_indicator,change_indicator_name,operating_months_avg,closed_months_avg
20254,3001496,HH,Stagnation,127,67
20254,3001495,LL,Dynamic,102,52
20254,3001494,HH,Stagnation,168,75
20254,3001493,HH,Stagnation,128,63
20254,3001492,HH,Stagnation,148,66
20254,3001491,LH,Expansion,105,58
20254,3130327,HH,Stagnation,132,72
20254,3130326,LL,Dynamic,92,50
20254,3130325,HH,Stagnation,118,58
20254,3130324,HL,Contraction,117,46
20254,3130323,HL,Contraction,126,46
20254,3130322,HL,Contraction,142,43
20254,3130321,LL,Dynamic,108,49
20254,3130320,HH,Stagnation,117,56
20254,3130319,HL,Contraction,145,43
20254,3130318,HL,Contraction,121,52
20254,3130317,HH,Stagnation,138,56
20254,3130316,HH,Stagnation,141,55
20254,3130315,HH,Stagnation,123,56
20254,3130314,HH,Stagnation,149,55
20254,3130313,LL,Dynamic,108,53
20254,3130312,LL,Dynamic,100,50
20254,3130311,LL,Dynamic,103,52
20254,3130310,HH,Stagnation,125,54
20254,3130309,HH,Stagnation,280,63
20254,3130308,HH,Stagnation,126,64
20254,3130307,HH,Stagnation,141,70
20254,3130306,LL,Dynamic,90,41
20254,3130305,LL,Dynamic,98,49
20254,3130304,HH,Stagnation,220,77
20254,3130303,LL,Dynamic,109,49
20254,3130302,LL,Dynamic,115,49
20254,3130301,HH,Stagnation,166,56
20254,3130296,HL,Contraction,177,52
20254,3130295,HH,Stagnation,124,54
20254,3130294,HH,Stagnation,122,58
20254,3130293,HL,Contraction,142,53
20254,3130292,HH,Stagnation,166,57
20254,3130291,LH,Expansion,102,60
20254,3130290,LL,Dynamic,103,48
20254,3130289,HH,Stagnation,163,58
20254,3130288,HL,Contraction,125,50
20254,3130287,HH,Stagnation,159,64
20254,3130286,HH,Stagnation,151,60
20254,3130285,LH,Expansion,97,57
20254,3130284,HH,Stagnation,192,57
20254,3130283,HL,Contraction,127,50
20254,3130282,HH,Stagnation,150,55
20254,3130281,HH,Stagnation,138,69
20254,3130280,HL,Contraction,140,47
20254,3130279,HL,Contraction,131,53
20254,3130278,HH,Stagnation,117,55
20254,3130277,HL,Contraction,131,46
20254,3130276,LH,Expansion,113,55
20254,3130275,LL,Dynamic,103,46
20254,3130274,LH,Expansion,94,56
20254,3130273,HH,Stagnation,117,56
20254,3130272,HL,Contraction,140,53
20254,3130271,HL,Contraction,125,49
20254,3130270,HH,Stagnation,128,56
20254,3130269,LL,Dynamic,93,46
20254,3130268,LH,Expansion,104,55
20254,3130267,HH,Stagnation,208,68
20254,3130266,LH,Expansion,105,55
20254,3130265,LL,Dynamic,106,52
20254,3130264,HL,Contraction,117,51
20254,3130263,HH,Stagnation,163,66
20254,3130262,HH,Stagnation,165,70
20254,3130261,HH,Stagnation,130,57
20254,3130260,HL,Contraction,140,50
20254,3130259,HH,Stagnation,197,68
20254,3130258,HH,Stagnation,140,67
20254,3130257,HH,Stagnation,201,63
20254,3130256,HL,Contraction,164,53
20254,3130255,HH,Stagnation,176,85
20254,3130254,HH,Stagnation,260,116
20254,3130253,HH,Stagnation,224,81
20254,3130250,HH,Stagnation,164,61
20254,3130249,HH,Stagnation,210,61
20254,3130248,HH,Stagnation,125,68
20254,3130247,HH,Stagnation,119,58
20254,3130246,HH,Stagnation,144,66
20254,3130245,HH,Stagnation,171,85
20254,3130244,LL,Dynamic,101,47
20254,3130243,LH,Expansion,89,69
20254,3130242,LL,Dynamic,90,40
20254,3130241,HL,Contraction,116,51
20254,3130240,HH,Stagnation,165,57
20254,3130239,HL,Contraction,271,46
20254,3130238,HH,Stagnation,137,54
20254,3130237,LH,Expansion,109,70
20254,3130236,HH,Stagnation,125,55
20254,3130235,HH,Stagnation,135,63
20254,3130234,LL,Dynamic,95,28
20254,3130233,HL,Contraction,125,48
20254,3130232,LL,Dynamic,86,47
20254,3130231,HH,Stagnation,173,87
20254,3130230,HH,Stagnation,159,57
20254,3130229,HH,Stagnation,122,57
20254,3130228,HH,Stagnation,151,55
20254,3130227,HH,Stagnation,122,54
20254,3130226,HL,Contraction,136,44
20254,3130225,HH,Stagnation,133,58
20254,3130224,HL,Contraction,207,53
20254,3130223,HH,Stagnation,138,59
20254,3130222,HH,Stagnation,153,56
20254,3130221,HL,Contraction,120,52
20254,3130220,LH,Expansion,72,59
20254,3130219,LH,Expansion,115,57
20254,3130218,HL,Contraction,128,41
20254,3130217,HH,Stagnation,133,54
20254,3130216,HH,Stagnation,128,60
20254,3130215,HL,Contraction,177,50
20254,3130214,HH,Stagnation,116,57
20254,3130213,HH,Stagnation,143,62
20254,3130212,HH,Stagnation,171,74
20254,3130211,HH,Stagnation,139,62
20254,3130210,HH,Stagnation,135,56
20254,3130209,LL,Dynamic,110,46
20254,3130208,HL,Contraction,119,52
20254,3130207,HH,Stagnation,134,55
20254,3130206,HL,Contraction,130,45
20254,3130205,HH,Stagnation,140,60
20254,3130204,HL,Contraction,128,49
20254,3130203,HL,Contraction,125,44
20254,3130202,HL,Contraction,119,51
20254,3130201,HL,Contraction,138,49
20254,3130200,HL,Contraction,148,48
20254,3130199,HL,Contraction,165,46
20254,3130198,HH,Stagnation,119,65
20254,3130197,HH,Stagnation,183,69
20254,3130196,HH,Stagnation,177,58
20254,3130195,HH,Stagnation,117,56
20254,3130194,HH,Stagnation,116,57
20254,3130193,HL,Contraction,188,40
20254,3130192,HH,Stagnation,140,61
20254,3130191,LL,Dynamic,86,48
20254,3130190,LL,Dynamic,81,46
20254,3130189,LL,Dynamic,106,33
20254,3130188,LH,Expansion,115,55
20254,3130187,LL,Dynamic,94,50
20254,3130186,LL,Dynamic,94,51
20254,3130185,HH,Stagnation,125,56
20254,3130184,HH,Stagnation,181,75
20254,3130183,LL,Dynamic,75,49
20254,3130182,HH,Stagnation,137,60
20254,3130181,HH,Stagnation,178,87
20254,3130180,HH,Stagnation,133,56
20254,3130179,LL,Dynamic,114,50
20254,3130178,LL,Dynamic,106,45
20254,3130177,HH,Stagnation,147,74
20254,3130176,HH,Stagnation,205,218
20254,3130175,LL,Dynamic,93,52
20254,3130174,HH,Stagnation,219,84
20254,3130173,HL,Contraction,121,50
20254,3130172,HH,Stagnation,169,84
20254,3130171,HH,Stagnation,133,62
20254,3130170,HH,Stagnation,127,54
20254,3130169,HH,Stagnation,122,56
20254,3130168,HH,Stagnation,148,61
20254,3130167,LL,Dynamic,91,49
20254,3130166,HH,Stagnation,116,58
20254,3130165,LH,Expansion,112,53
20254,3130164,HH,Stagnation,171,141
20254,3130163,LL,Dynamic,113,49
20254,3130162,HH,Stagnation,204,66
20254,3130161,LH,Expansion,99,61
20254,3130160,HH,Stagnation,196,71
20254,3130159,HH,Stagnation,127,55
20254,3130158,LL,Dynamic,24,42
20254,3130157,LL,Dynamic,114,46
20254,3130156,HH,Stagnation,116,80
20254,3130155,LH,Expansion,103,63
20254,3130154,LL,Dynamic,114,48
20254,3130153,LH,Expansion,112,53
20254,3130152,HH,Stagnation,146,53
20254,3130151,LL,Dynamic,98,51
20254,3130150,HH,Stagnation,134,54
20254,3130149,HH,Stagnation,142,54
20254,3130148,HL,Contraction,126,51
20254,3130147,LH,Expansion,99,53
20254,3130146,HH,Stagnation,131,54
20254,3130145,LH,Expansion,80,56
20254,3130144,HL,Contraction,158,44
20254,3130143,HL,Contraction,117,53
20254,3130142,HH,Stagnation,129,63
