year_quarter,zone_code,total_floating_pop,male_pop,female_pop,pop_20s,pop_30s
20254,3001496,109921,53290,56631,21760,29582
20254,3001495,4226024,1994837,2231189,974324,1043765
20254,3001494,8405499,4432125,3973375,1499669,1649406
20254,3001493,3312549,1549334,1763215,617894,705563
20254,3001492,7288146,3442008,3846139,1248220,1656377
20254,3001491,2152318,1129714,1022605,532583,532245
20254,3130327,58826,27409,31417,8233,12718
20254,3130326,88263,39847,48415,7118,14448
20254,3130325,294499,131866,162633,29693,38766
20254,3130324,559312,246374,312938,60977,79703
20254,3130323,292778,139680,153098,32537,42534
20254,3130322,100440,49075,51365,12887,14345
20254,3130321,294449,137776,156672,32340,39455
20254,3130320,229360,104735,124627,26385,33542
20254,3130319,647635,307040,340596,67773,101787
20254,3130318,493325,227409,265916,99475,104973
20254,3130317,597475,285750,311726,54340,71599
20254,3130316,74876,36589,38287,6983,9334
20254,3130315,627169,304906,322262,91007,128609
20254,3130314,1204629,547625,657003,150407,199209
20254,3130313,999799,458860,540939,142147,214219
20254,3130312,259879,128872,131007,27942,48369
20254,3130311,958227,443773,514454,140162,167477
20254,3130310,230311,101100,129212,19220,23968
20254,3130309,40236,18534,21703,2823,2884
20254,3130308,30741,15680,15061,3622,6013
20254,3130307,63979,28808,35170,5431,5074
20254,3130306,250898,126909,123989,47995,71713
20254,3130305,26609,13344,13265,5032,6845
20254,3130304,20530,8882,11647,1385,1892
20254,3130303,368682,182493,186190,78478,94070
20254,3130302,49926,24407,25519,11074,12018
20254,3130301,59329,29904,29426,8100,12260
20254,3130296,35521,16218,19303,3889,4842
20254,3130295,276864,127726,149138,57758,53755
20254,3130294,452210,210037,242174,70585,75328
20254,3130293,101743,46966,54777,25655,21953
20254,3130292,97677,45798,51879,13340,16418
20254,3130291,26277,12203,14074,7694,5247
20254,3130290,431348,203753,227596,117085,86038
20254,3130289,59093,28582,30511,12965,11032
20254,3130288,15701,7636,8066,2420,2757
20254,3130287,1107185,580680,526506,294349,188910
20254,3130286,101310,53302,48008,27366,17116
20254,3130285,918412,483307,435105,309050,213390
20254,3130284,58187,29443,28744,15004,13273
20254,3130283,632318,323599,308720,180869,147223
20254,3130282,71374,34277,37096,8590,10509
20254,3130281,48818,23586,25234,5743,7661
20254,3130280,35161,16510,18652,8910,7357
20254,3130279,612753,279886,332865,163243,119315
20254,3130278,265017,119627,145391,28964,35250
20254,3130277,193756,91864,101892,40723,37992
20254,3130276,118794,58066,60728,29401,26122
20254,3130275,374981,194332,180650,64812,90985
20254,3130274,885749,442987,442762,231558,190937
20254,3130273,914383,418442,495941,135804,144376
20254,3130272,36566,16581,19985,7181,7071
20254,3130271,573119,259257,313862,97043,104896
20254,3130270,70781,32944,37837,10435,10199
20254,3130269,44584,21098,23488,12944,5220
20254,3130268,190497,86754,103743,40573,24427
20254,3130267,208510,98118,110391,35133,40747
20254,3130266,109902,61132,48770,47874,22274
20254,3130265,203568,113835,89735,95038,41172
20254,3130264,145574,64586,80987,18938,20721
20254,3130263,12362,5987,6376,1831,2277
20254,3130262,150567,71203,79364,24410,27406
