year_quarter,zone_code,total_workplace_pop
20254,3111090,143
20254,3111089,1291
20254,3111088,828
20254,3111087,348
20254,3111086,523
20254,3111085,845
20254,3111084,731
20254,3111083,2061
20254,3111082,327
20254,3111081,1370
20254,3111080,3164
20254,3111079,994
20254,3111078,4815
20254,3111077,7801
20254,3111076,2912
20254,3111075,2944
20254,3111074,1798
20254,3111073,4066
20254,3111072,2590
20254,3111071,1774
20254,3111070,1028
20254,3111069,1141
20254,3111068,3390
20254,3111067,5619
20254,3111066,1249
20254,3111065,432
20254,3111064,2442
20254,3111063,590
20254,3111062,3082
20254,3111061,3864
20254,3111060,3190
20254,3111059,4371
20254,3111058,2315
20254,3111057,665
20254,3111056,1427
20254,3111055,921
20254,3111054,1824
20254,3111053,9910
20254,3111052,1940
20254,3111051,3113
20254,3111050,4405
20254,3111049,1221
20254,3111048,1245
20254,3111047,407
20254,3111046,1871
20254,3111045,883
20254,3111044,1731
20254,3111043,1206
20254,3111042,4875
20254,3111041,1109
20254,3111040,1859
20254,3111039,4332
20254,3111038,3596
20254,3111037,2536
20254,3111036,1761
20254,3111035,4806
20254,3111034,4899
20254,3111033,1355
20254,3111032,12832
20254,3111031,4056
20254,3111030,11083
20254,3111029,5881
20254,3111028,3987
20254,3111027,21637
20254,3111026,42049
20254,3111025,9655
20254,3111024,15990
20254,3111023,26775
20254,3111022,10088
20254,3111021,8300
20254,3111020,549
20254,3111019,14930
20254,3111018,156
20254,3111017,4249
20254,3111016,4868
20254,3111015,9817
20254,3111014,15881
20254,3111013,19249
20254,3111012,4306
20254,3111011,4438
20254,3111010,9972
20254,3111009,985
20254,3111008,3598
20254,3111007,3148
20254,3111006,4888
20254,3111005,3073
20254,3111004,8820
20254,3111003,4767
20254,3111002,102
20254,3111001,92
20254,3111000,19
20254,3110999,213
20254,3110998,101
20254,3110997,1822
20254,3110996,16606
20254,3110995,22329
20254,3110994,3211
20254,3110993,3433
20254,3110992,23841
20254,3110991,67063
20254,3110990,10422
20254,3110989,20071
20254,3110988,10080
20254,3110987,6886
20254,3110986,15131
20254,3110985,14518
20254,3110984,3797
20254,3110983,4357
20254,3110982,4232
20254,3110981,6747
20254,3110980,17662
20254,3110979,8722
20254,3110978,42630
20254,3110977,11872
20254,3110976,12486
20254,3110975,35686
20254,3110974,12757
20254,3110973,13838
20254,3110972,15775
20254,3110971,33623
20254,3110970,12739
20254,3110969,39784
20254,3110968,17981
20254,3110967,31760
20254,3110966,24612
20254,3110965,18626
20254,3110964,11763
20254,3110963,25481
20254,3110962,13334
20254,3110961,20081
20254,3110960,22463
20254,3110959,11923
20254,3110958,26931
